Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F001,Tomato,468.63,Sprinkler,20.75,3.41,8931.34,Peaty,Kharif,144713.27
F002,Barley,56.58,Manual,0.7,0.44,583.46,Clay,Zaid,22082.96
F003,Potato,340.27,Flood,12.45,5.12,5045.88,Peaty,Zaid,69610.71
F004,Cotton,75.36,Rain-fed,3.12,0.84,884.47,Peaty,Rabi,35715.84
F005,Tomato,441.15,Manual,21.74,3.24,7996.72,Peaty,Kharif,116567.42
F006,Soybean,260.25,Sprinkler,6.5,2.44,1875.75,Silty,Zaid,55768.31
F007,Maize,50.32,Sprinkler,0.85,0.65,409.66,Silty,Zaid,11813.41
F008,Tomato,312.19,Flood,13.77,2.13,5520.31,Loamy,Rabi,74767.21
F009,Potato,14.46,Sprinkler,0.33,0.07,206.66,Clay,Kharif,2597.3
F010,Cotton,390.25,Drip,13.24,7.32,4538.45,Sandy,Zaid,183894.63
F011,Barley,328.79,Rain-fed,8.42,3.15,1984.24,Peaty,Rabi,55877.31
F012,Potato,114.19,Manual,2.98,0.95,2250.2,Clay,Rabi,51741.51
F013,Potato,193.63,Rain-fed,7.61,3.0,3087.86,Clay,Rabi,50725.04
F014,Maize,13.83,Flood,0.34,0.25,105.85,Loamy,Rabi,2871.66
F015,Sugarcane,349.91,Manual,13.2,5.07,6730.91,Sandy,Zaid,62774.22
F016,Cotton,168.11,Manual,1.78,1.48,1355.43,Peaty,Kharif,50724.21
F017,Rice,290.08,Drip,6.67,5.2,3192.08,Sandy,Rabi,106662.88
F018,Potato,478.8,Flood,10.9,6.06,9523.21,Loamy,Rabi,219905.7
F019,Sugarcane,156.74,Sprinkler,6.26,1.68,3613.93,Silty,Zaid,56579.32
F020,Rice,495.22,Drip,11.18,6.97,4738.11,Clay,Rabi,145328.73
F021,Cotton,320.04,Drip,11.31,4.96,1467.03,Peaty,Rabi,36289.12
F022,Wheat,128.62,Rain-fed,4.83,1.79,1614.48,Silty,Kharif,59960.49
F023,Soybean,224.02,Rain-fed,8.14,4.21,2722.58,Loamy,Rabi,103262.04
F024,Sugarcane,372.82,Rain-fed,12.73,5.38,7691.14,Sandy,Zaid,93759.81
F025,Carrot,228.77,Drip,6.07,4.16,2502.81,Clay,Kharif,25534.37
F026,Wheat,43.57,Sprinkler,1.09,0.6,481.65,Peaty,Zaid,17137.66
F027,Soybean,92.62,Manual,3.02,0.92,1042.32,Silty,Kharif,38590.44
F028,Maize,397.74,Rain-fed,4.99,5.16,3846.57,Silty,Kharif,126076.84
F029,Tomato,327.7,Sprinkler,14.76,2.06,5932.86,Clay,Rabi,85579.59
F030,Barley,289.21,Flood,12.44,2.44,3351.36,Sandy,Rabi,127385.43
F031,Carrot,92.13,Rain-fed,2.2,1.52,1122.34,Loamy,Rabi,16308.46
F032,Maize,420.5,Manual,13.74,6.27,3752.17,Sandy,Zaid,115984.0
F033,Cotton,480.76,Flood,22.73,3.6,2169.06,Sandy,Rabi,52785.07
F034,Maize,30.03,Flood,0.63,0.35,201.36,Sandy,Rabi,4973.87
F035,Tomato,48.24,Manual,1.91,0.34,1074.34,Clay,Kharif,22976.19
F036,Cotton,443.52,Rain-fed,5.9,7.91,3822.05,Clay,Rabi,146906.94
F037,Carrot,409.62,Drip,12.67,2.72,7083.28,Loamy,Rabi,172956.95
F038,Tomato,312.79,Manual,14.19,4.63,5827.37,Sandy,Rabi,92147.36
F039,Rice,473.03,Manual,15.17,6.67,5843.3,Clay,Rabi,205263.59
F040,Barley,326.75,Manual,11.32,3.95,2961.19,Loamy,Kharif,103116.14
F041,Carrot,115.83,Flood,5.36,1.06,1267.12,Loamy,Rabi,11793.52
F042,Rice,367.03,Sprinkler,14.17,4.06,4757.99,Sandy,Kharif,168791.79
F043,Soybean,326.4,Drip,12.35,5.58,2020.38,Peaty,Zaid,52036.48
F044,Carrot,493.01,Rain-fed,16.49,8.1,7012.06,Sandy,Rabi,138153.58
F045,Soybean,114.81,Rain-fed,4.05,1.85,999.72,Peaty,Rabi,33371.48
F046,Cotton,302.96,Sprinkler,12.77,4.92,1444.03,Loamy,Rabi,36020.71
F047,Rice,392.28,Manual,19.29,2.81,2450.37,Clay,Kharif,47555.63
F048,Barley,176.1,Drip,7.36,1.14,1939.84,Silty,Rabi,71324.84
F049,Tomato,196.04,Rain-fed,7.51,3.51,3363.36,Loamy,Rabi,43164.81
F050,Potato,445.07,Rain-fed,6.86,7.81,7013.32,Clay,Zaid,117432.78
F051,Maize,208.06,Manual,8.88,3.17,2105.25,Loamy,Kharif,67752.23
F052,Wheat,316.12,Sprinkler,12.47,4.45,2608.09,Sandy,Kharif,78825.7
F053,Barley,445.73,Drip,18.19,4.68,4923.2,Peaty,Zaid,182754.61
F054,Rice,112.82,Sprinkler,2.17,0.94,1443.42,Loamy,Kharif,51193.86
F055,Potato,491.12,Sprinkler,22.66,7.37,6552.42,Clay,Rabi,60843.44
F056,Barley,353.96,Drip,4.92,6.62,3418.61,Sandy,Rabi,125357.97
F057,Rice,253.1,Drip,5.1,2.92,2084.98,Silty,Zaid,57469.82
F058,Sugarcane,221.15,Rain-fed,8.08,2.11,4936.03,Sandy,Kharif,73711.89
F059,Sugarcane,477.64,Rain-fed,17.65,4.33,10312.06,Peaty,Kharif,140217.0
F060,Soybean,110.81,Drip,2.5,0.59,835.87,Sandy,Kharif,25869.84
F061,Barley,162.72,Flood,6.19,2.08,900.62,Silty,Zaid,22444.02
F062,Sugarcane,160.82,Rain-fed,4.1,3.19,3547.68,Clay,Rabi,52069.15
F063,Rice,151.61,Flood,1.52,2.61,979.53,Loamy,Zaid,22001.64
F064,Soybean,239.58,Drip,3.95,4.42,1462.8,Peaty,Rabi,38919.89
F065,Rice,494.7,Rain-fed,22.41,7.08,6741.19,Silty,Zaid,243821.77
F066,Soybean,445.51,Sprinkler,8.42,5.44,3300.41,Peaty,Rabi,100988.12
F067,Barley,170.7,Drip,2.48,3.39,1577.57,Sandy,Kharif,56973.73
F068,Potato,217.21,Manual,8.1,2.54,3238.77,Peaty,Kharif,45372.84
F069,Tomato,338.05,Flood,9.34,6.34,7308.15,Silty,Kharif,150837.21
F070,Carrot,18.4,Drip,0.77,0.3,241.88,Loamy,Zaid,3926.31
F071,Potato,411.88,Drip,18.31,4.1,6528.57,Loamy,Zaid,101631.9
F072,Cotton,441.1,Rain-fed,19.34,5.53,4018.51,Peaty,Zaid,151454.26
F073,Rice,430.03,Rain-fed,9.68,4.63,5391.59,Clay,Kharif,192650.33
F074,Cotton,193.78,Rain-fed,5.86,1.36,2075.42,Peaty,Rabi,82642.96
F075,Potato,236.38,Manual,8.51,2.45,3493.19,Sandy,Kharif,48586.43
F076,Soybean,16.07,Rain-fed,0.37,0.29,184.08,Loamy,Kharif,6939.5
