R_mean,G_mean,B_mean,R_std,G_std,B_std,H_mean,S_mean,V_mean,H_std,S_std,V_std,lesion_density,texture_variance,label
92.5,155.0,76.3,18.0,22.0,15.5,75.0,0.65,0.61,12.5,0.06,0.05,0.0,18.5,Healthy
88.0,148.5,71.0,19.2,20.5,14.8,76.2,0.62,0.58,13.1,0.07,0.04,0.0,16.2,Healthy
122.5,115.0,72.4,32.0,28.5,24.0,38.5,0.58,0.48,18.2,0.08,0.07,0.28,55.0,Leaf Blight
118.0,109.0,68.5,30.5,27.0,22.5,39.0,0.55,0.45,17.5,0.09,0.06,0.32,58.4,Leaf Blight
165.0,110.0,55.0,38.0,26.0,18.0,25.0,0.72,0.52,15.0,0.08,0.07,0.22,72.0,Rust (Puccinia)
172.5,118.0,62.4,35.8,24.5,19.2,24.2,0.70,0.55,14.2,0.07,0.06,0.25,68.5,Rust (Puccinia)
192.0,195.0,188.0,18.0,15.0,16.5,18.5,0.18,0.78,14.0,0.05,0.05,0.18,32.0,Powdery Mildew
188.0,191.0,184.0,19.5,14.2,15.8,17.2,0.15,0.76,14.5,0.06,0.04,0.20,30.5,Powdery Mildew
138.5,128.0,82.0,33.0,29.0,23.5,42.5,0.52,0.50,16.0,0.07,0.07,0.15,48.0,Bacterial Leaf Spot
134.0,122.5,76.8,31.2,27.8,22.0,43.2,0.50,0.48,15.2,0.08,0.06,0.18,50.2,Bacterial Leaf Spot
126.0,145.0,78.5,28.5,24.0,22.0,58.0,0.48,0.58,15.5,0.06,0.07,0.08,52.5,Leaf Curl Virus
122.5,140.0,72.8,29.0,25.2,21.0,59.2,0.45,0.56,16.2,0.07,0.06,0.10,54.0,Leaf Curl Virus
